final_rank,team,variant,published_official_rank,raw_ROUGE,raw_BLEU,raw_METEOR,raw_BERTScore,raw_FKGL,raw_DCRS,raw_CLI,raw_LENS,raw_AlignScore,raw_SummaC,norm_ROUGE,norm_BLEU,norm_METEOR,norm_BERTScore,norm_FKGL,norm_DCRS,norm_CLI,norm_LENS,norm_AlignScore,norm_SummaC,Relevance,Readability,Factuality,Final
1,SUWMIT,,1,0.370,10.070,0.308,0.864,11.740,9.080,12.580,72.610,0.750,0.682,1.0000,1.0000,0.9627,0.9130,0.8039,0.8767,0.7939,0.8514,0.6814,0.4612,0.9689,0.8315,0.5713,0.7906
2,Baseline-llama3-8B-sft,,2,0.366,9.860,0.314,0.863,12.200,9.250,12.980,72.860,0.722,0.644,0.9805,0.9764,1.0000,0.8986,0.7299,0.8429,0.7222,0.8546,0.6315,0.3793,0.9639,0.7874,0.5054,0.7522
3,thesis_laysumm (rewritten),rewritten,,0.329,8.611,0.264,0.849,12.198,13.454,16.268,59.110,0.924,0.930,0.7996,0.8359,0.6874,0.6933,0.7302,0.0068,0.1331,0.6774,0.9913,0.9952,0.7541,0.3868,0.9932,0.7114
4,Baseline-qwen2.5-7B-sft,,3,0.352,8.740,0.303,0.870,12.710,9.650,13.700,60.220,0.754,0.644,0.9122,0.8504,0.9317,1.0000,0.6479,0.7633,0.5932,0.6917,0.6886,0.3793,0.9236,0.6740,0.5340,0.7105
5,thesis_laysumm (generated),generated,,0.307,6.761,0.240,0.848,12.212,13.488,16.385,66.642,0.929,0.932,0.6904,0.6277,0.5386,0.6765,0.7279,0.0000,0.1121,0.7745,1.0000,1.0000,0.6333,0.4036,1.0000,0.6790
6,BDA-UCM,,4,0.334,8.080,0.294,0.870,12.320,9.260,13.200,64.070,0.691,0.590,0.8244,0.7762,0.8758,1.0000,0.7106,0.8409,0.6828,0.7413,0.5762,0.2629,0.8691,0.7439,0.4196,0.6775
7,MetinOZU,,5,0.330,6.950,0.290,0.857,16.450,11.220,17.010,34.860,0.881,0.920,0.8049,0.6490,0.8509,0.8116,0.0466,0.4511,0.0000,0.3648,0.9151,0.9742,0.7791,0.2156,0.9447,0.6465
8,TupiQ,,7,0.335,7.160,0.268,0.862,13.440,10.590,13.480,43.670,0.762,0.642,0.8293,0.6727,0.7143,0.8841,0.5305,0.5764,0.6326,0.4783,0.7029,0.3750,0.7751,0.5545,0.5389,0.6228
9,MIRAGES,,6,0.288,4.630,0.230,0.846,11.710,8.460,11.990,71.270,0.681,0.605,0.6000,0.3881,0.4783,0.6522,0.8087,1.0000,0.8996,0.8341,0.5584,0.2953,0.5296,0.8856,0.4268,0.6140
10,LaySummX,,8,0.321,5.440,0.253,0.855,12.330,9.510,13.380,80.460,0.675,0.521,0.7610,0.4792,0.6211,0.7826,0.7090,0.7912,0.6505,0.9526,0.5477,0.1142,0.6610,0.7758,0.3309,0.5892
11,CUTN_Bio,,9,0.268,3.250,0.226,0.848,10.520,8.840,11.430,84.140,0.589,0.549,0.5024,0.2328,0.4534,0.6812,1.0000,0.9244,1.0000,1.0000,0.3942,0.1746,0.4675,0.9811,0.2844,0.5777
12,Aard,,10,0.319,5.450,0.293,0.851,14.560,10.020,15.360,71.510,0.695,0.509,0.7512,0.4803,0.8696,0.7246,0.3505,0.6898,0.2957,0.8372,0.5833,0.0884,0.7064,0.5433,0.3358,0.5285
13,5cNLP,,12,0.333,6.140,0.268,0.859,16.070,10.400,15.340,76.050,0.631,0.549,0.8195,0.5579,0.7143,0.8406,0.1077,0.6142,0.2993,0.8957,0.4692,0.1746,0.7331,0.4792,0.3219,0.5114
14,LTRC,,11,0.288,4.270,0.222,0.850,13.360,9.300,13.290,79.340,0.601,0.476,0.6000,0.3476,0.4286,0.7101,0.5434,0.8329,0.6667,0.9381,0.4156,0.0172,0.5216,0.7453,0.2164,0.4944
15,RainCityNLP,,13,0.284,4.870,0.241,0.840,16.740,11.660,16.240,9.410,0.612,0.653,0.5805,0.4151,0.5466,0.5652,0.0000,0.3636,0.1380,0.0367,0.4353,0.3987,0.5268,0.1346,0.4170,0.3595
16,SXZ,,14,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.3298,0.6667,0.0000,0.8812,0.1293,0.0042,0.4159,0.5053,0.3085
17,demo,,15,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.3298,0.6667,0.0000,0.8812,0.1293,0.0042,0.4159,0.5053,0.3085
18,x2z,,16,0.182,1.180,0.168,0.804,12.600,8.560,12.650,63.220,0.368,0.468,0.0829,0.0000,0.0932,0.0435,0.6656,0.9801,0.7814,0.7303,0.0000,0.0000,0.0549,0.7894,0.0000,0.2814
